id;city_name;date_create_city;status
143;Канск;2023-07-30T00:57:17;
144;Лесосибирск;2023-07-30T00:57:17;
145;Ачинск;2023-07-30T00:57:17;
146;Зеленогорск;2023-07-30T00:57:17;
147;Железногорск;2023-07-30T00:57:17;
148;Курган;2023-07-30T00:57:17;
149;Курганская область;2023-07-30T00:57:17;
150;Шадринск;2023-07-30T00:57:17;
151;Курск;2023-07-30T00:57:17;
152;Курская область;2023-07-30T00:57:17;
153;Железногорск (Курск);2023-07-30T00:57:17;
154;Липецк;2023-07-30T00:57:17;
155;Липецкая область;2023-07-30T00:57:17;
156;Елец;2023-07-30T00:57:17;
157;Магадан;2023-07-30T00:57:17;
158;Магаданская область;2023-07-30T00:57:17;
159;Мурманская область;2023-07-30T00:57:17;
160;Мурманск;2023-07-30T00:57:17;
161;Ненецкий Автономный Округ;2023-07-30T00:57:17;
162;Нарьян-Мар;2023-07-30T00:57:17;
163;Нижний Новгород;2023-07-30T00:57:17;
164;Нижегородскаяя область;2023-07-30T00:57:17;
165;Дзержинск;2023-07-30T00:57:17;
166;Саров;2023-07-30T00:57:17;
167;Великий Новгород;2023-07-30T00:57:17;
168;Новгородская область;2023-07-30T00:57:17;
169;Новосибирск;2023-07-30T00:57:17;
170;Новосибирская область;2023-07-30T00:57:17;
171;Бердск;2023-07-30T00:57:17;
172;Омск;2023-07-30T00:57:17;
173;Омская область;2023-07-30T00:57:17;
174;Оренбург;2023-07-30T00:57:17;
175;Оренбургская область;2023-07-30T00:57:17;
176;Орск;2023-07-30T00:57:17;
177;Новотроицк;2023-07-30T00:57:17;
178;Орёл;2023-07-30T00:57:17;
179;Орловская область;2023-07-30T00:57:17;
180;Пенза;2023-07-30T00:57:17;
181;Пензенская область;2023-07-30T00:57:17;
182;Кузнецк;2023-07-30T00:57:17;
183;Заречный;2023-07-30T00:57:17;
184;Пермь;2023-07-30T00:57:17;
185;Пермский край;2023-07-30T00:57:17;
186;Владивосток;2023-07-30T00:57:17;
187;Приморский край;2023-07-30T00:57:17;
188;Артём;2023-07-30T00:57:17;
189;Уссурийск;2023-07-30T00:57:17;
190;Находка;2023-07-30T00:57:17;
191;Псков;2023-07-30T00:57:17;
192;Псковская область;2023-07-30T00:57:17;
193;Великие Луки;2023-07-30T00:57:17;
194;Республика Адыгея;2023-07-30T00:57:17;
195;Горно-Алтайск;2023-07-30T00:57:17;
196;Республика Алтай;2023-07-30T00:57:17;
197;Республика Алтай;2023-07-30T00:57:17;
198;Уфа;2023-07-30T00:57:17;
199;Башкортостан;2023-07-30T00:57:17;
200;Кумертау;2023-07-30T00:57:17;
201;Ишимбай;2023-07-30T00:57:17;
202;Стерлитамак;2023-07-30T00:57:17;
203;Нефтекамск;2023-07-30T00:57:17;
204;Улан-Удэ;2023-07-30T00:57:17;
205;Республика Бурятия;2023-07-30T00:57:17;
206;Махачкала;2023-07-30T00:57:17;
207;Республика Дагестан;2023-07-30T00:57:17;
208;Дербент;2023-07-30T00:57:17;
209;Буйнакск;2023-07-30T00:57:17;
210;Хасавюрт;2023-07-30T00:57:17;
211;Каспийск;2023-07-30T00:57:17;
212;Магас;2023-07-30T00:57:17;
213;Республика Ингушетия;2023-07-30T00:57:17;
214;Сунжа;2023-07-30T00:57:17;
215;Назрань;2023-07-30T00:57:17;
216;Элиста;2023-07-30T00:57:17;
217;Республика Калмыкия;2023-07-30T00:57:17;
218;Петрозаводск;2023-07-30T00:57:17;
219;Республика Карелия;2023-07-30T00:57:17;
220;Сыктывкар;2023-07-30T00:57:17;
221;Республика Коми;2023-07-30T00:57:17;
222;Воркута;2023-07-30T00:57:17;
223;Ухта;2023-07-30T00:57:17;
224;Севастополь;2023-07-30T00:57:17;
225;Республика Крым;2023-07-30T00:57:17;
226;Симферополь;2023-07-30T00:57:17;
227;Керчь;2023-07-30T00:57:17;
228;Ялта;2023-07-30T00:57:17;
229;Евпатория;2023-07-30T00:57:17;
230;Йошкар-Ола;2023-07-30T00:57:17;
231;Республика Марий Эл;2023-07-30T00:57:17;
232;Волжск;2023-07-30T00:57:17;
233;Саранск;2023-07-30T00:57:17;
234;Республика Мордовия;2023-07-30T00:57:17;
235;Якутск;2023-07-30T00:57:17;
236;Республика Саха;2023-07-30T00:57:17;
238;Владикавказ;2023-07-30T00:57:17;
239;Алания;2023-07-30T00:57:17;
240;Казань;2023-07-30T00:57:17;
241;Республика Татарстан;2023-07-30T00:57:17;
242;Альметьевск;2023-07-30T00:57:17;
243;Набережные Челны;2023-07-30T00:57:17;
244;Нижнекамск;2023-07-30T00:57:17;
245;Бугульма;2023-07-30T00:57:17;
246;Зеленодольск;2023-07-30T00:57:17;
247;Чистополь;2023-07-30T00:57:17;
248;Кызыл;2023-07-30T00:57:17;
249;Республика Тыва;2023-07-30T00:57:17;
250;Абакан;2023-07-30T00:57:17;
251;Республика Хакасия;2023-07-30T00:57:17;
252;Ростов-на-Дону;2023-07-30T00:57:17;
253;Ростовская область;2023-07-30T00:57:17;
254;Волгодонск;2023-07-30T00:57:17;
255;Каменск-Шахтинский;2023-07-30T00:57:17;
256;Таганрог;2023-07-30T00:57:17;
257;Новочеркасск;2023-07-30T00:57:17;
258;Батайск;2023-07-30T00:57:17;
259;Шахты;2023-07-30T00:57:17;
260;Азов;2023-07-30T00:57:17;
261;Рязань;2023-07-30T00:57:17;
262;Рязанская область;2023-07-30T00:57:17;
263;Самара;2023-07-30T00:57:17;
264;Самарская область;2023-07-30T00:57:17;
265;Тольятти;2023-07-30T00:57:17;
266;Сызрань;2023-07-30T00:57:17;
267;Чапаевск;2023-07-30T00:57:17;
268;Саратов;2023-07-30T00:57:17;
269;Саратовская область;2023-07-30T00:57:17;
270;Балаково;2023-07-30T00:57:17;
271;Вольск;2023-07-30T00:57:17;
272;Энгельс;2023-07-30T00:57:17;
273;Балашов;2023-07-30T00:57:17;
274;Южно-Сахалинск;2023-07-30T00:57:17;
275;Сахалинская область;2023-07-30T00:57:17;
