id;score_channel;is_show_channel;channel_id;category_id;comment
4605;770;true;4184;55;comment
4606;780;true;4185;55;comment
4609;790;true;4186;1047;comment
4610;800;true;4187;55;comment
4611;10;true;4188;1048;comment
4612;20;true;4189;1048;comment
4613;830;true;4190;55;comment
4614;840;true;4191;55;comment
4615;340;true;4192;1048;comment
4616;350;true;4193;1048;comment
4617;360;true;4194;1048;comment
4618;370;true;4195;1048;comment
4619;380;true;4196;1048;comment
4620;110;true;4197;1047;comment
4621;910;true;4198;55;comment
4622;920;true;4199;55;comment
4623;930;true;4200;55;comment
4624;940;true;4201;55;comment
4625;390;true;4202;1048;comment
4626;120;true;4203;1047;comment
4627;970;true;4204;55;comment
4628;980;true;4205;55;comment
4629;990;true;4206;55;comment
4630;400;true;4207;1048;comment
4631;1010;true;4208;55;comment
4632;410;true;4209;1048;comment
4633;1030;true;4210;55;comment
4634;1040;true;4211;55;comment
4635;1050;true;4212;55;comment
4636;1060;true;4213;55;comment
4637;1070;true;4214;55;comment
4638;1080;true;4215;55;comment
4639;420;true;4216;1048;comment
4640;1100;true;4217;55;comment
4641;1110;true;4218;55;comment
4642;300;true;4219;1047;comment
4643;1130;true;4220;55;comment
4644;1140;true;4221;55;comment
4645;1150;true;4222;55;comment
4646;430;true;4223;1048;comment
4647;1170;true;4224;55;comment
4648;440;true;4225;1048;comment
4649;1190;true;4226;55;comment
4650;450;true;4227;1048;comment
4651;470;true;4228;1048;comment
4652;460;true;4229;1048;comment
4653;1230;true;4230;55;comment
4654;1240;true;4231;55;comment
4655;1250;true;4232;55;comment
4656;1260;true;4233;55;comment
4657;1270;true;4234;55;comment
4658;120;true;4235;1047;comment
4659;480;true;4236;1048;comment
4660;1300;true;4237;55;comment
4661;490;true;4238;1048;comment
4662;1320;true;4239;55;comment
4663;1330;true;4240;55;comment
4664;1340;true;4241;55;comment
4665;310;true;4242;1047;comment
4666;1360;true;4243;55;comment
4667;1370;true;4244;55;comment
4668;1380;true;4245;55;comment
4669;1390;true;4246;55;comment
4670;1400;true;4247;55;comment
4671;500;true;4248;1048;comment
4672;1420;true;4249;55;comment
4673;1430;true;4250;55;comment
4674;510;true;4251;1048;comment
4675;1450;true;4252;55;comment
4676;520;true;4253;1048;comment
4677;1470;true;4254;55;comment
4678;1480;true;4255;55;comment
4679;1490;true;4256;55;comment
4680;1500;true;4257;55;comment
4681;530;true;4258;1048;comment
4682;1520;true;4259;55;comment
4683;50;true;4260;1048;comment
4684;1540;true;4261;55;comment
4685;1550;true;4262;55;comment
4686;1560;true;4263;55;comment
4687;1570;true;4264;55;comment
4688;1580;true;4265;55;comment
4689;1590;true;4266;55;comment
4690;1600;true;4267;55;comment
4691;1610;true;4268;55;comment
4692;540;true;4269;1048;comment
4693;1630;true;4270;55;comment
4694;550;true;4271;1048;comment
4695;1650;true;4272;55;comment
4696;1660;true;4273;55;comment
4697;1670;true;4274;55;comment
4698;130;true;4275;1047;comment
4699;1680;true;4276;55;comment
4700;1690;true;4277;55;comment
4701;1700;true;4278;55;comment
4702;1710;true;4279;55;comment
4703;560;true;4280;1048;comment
4704;1730;true;4281;55;comment
4705;1740;true;4282;55;comment
4706;1750;true;4283;55;comment
4707;1760;true;4284;55;comment
4708;1770;true;4285;55;comment
4709;1780;true;4286;55;comment
4710;1790;true;4287;55;comment
4711;1800;true;4289;55;comment
4712;1810;true;4113;55;comment
4713;300;true;4290;1015;comment
4714;60;true;4291;1048;comment
4715;580;true;4293;1048;comment
4716;30;true;4294;48;comment
4717;60;true;4298;1000;comment
4718;80;true;4299;48;comment
4719;90;true;4300;66;comment
4720;100;true;4301;48;comment
4721;110;true;4302;48;comment
4722;120;true;4303;48;comment
4723;130;true;4304;66;comment
4724;130;true;4305;48;comment
4725;70;true;4306;1000;comment
4726;140;true;4307;48;comment
4727;150;true;4308;48;comment
4728;160;true;4309;48;comment
4729;170;true;4310;48;comment
4730;180;true;4311;48;comment
4731;190;true;4312;48;comment
4732;200;true;4313;48;comment
4733;210;true;4314;48;comment
4734;220;true;4315;48;comment
4735;230;true;4316;48;comment
4736;240;true;4317;48;comment
4737;250;true;4318;48;comment
4738;260;true;4319;48;comment
4739;270;true;4320;48;comment
4740;280;true;4321;48;comment
4741;290;true;4322;48;comment
4742;300;true;4323;48;comment
4743;310;true;4324;48;comment
4744;320;true;4325;48;comment
4745;330;true;4326;48;comment
4746;140;true;4327;66;comment
4747;150;true;4328;66;comment
4749;90;true;4329;1000;comment
4750;80;true;4330;6;comment
4751;90;true;4331;6;comment
4752;100;true;4332;6;comment
4753;110;true;4333;6;comment
4754;120;true;4334;6;comment
4755;130;true;4335;6;comment
